"id","playlist_name","modifiedat","numfollowers","numtracks","collaborative"
135,"Get Down","2017-10-29 20:00:00",16,172,True
9372,"vibin ","2017-07-05 20:00:00",10,167,True
1028,"Motown","2014-12-08 19:00:00",7,110,True
3482,"CRAIG DAVID","2014-10-16 20:00:00",7,43,True
503,"Motown","2014-12-08 19:00:00",7,110,True
9046,"collab playlist","2016-06-03 20:00:00",6,92,True
23,"sexy","2017-08-04 20:00:00",6,37,True
2684,"Summer 2015","2016-06-29 20:00:00",5,146,True
9274,"WORK BEATS","2016-02-14 19:00:00",5,49,True
7673,"saturday","2016-04-07 20:00:00",5,148,True
7026,"TX Country","2017-01-16 19:00:00",4,74,True
1615,"Classic Rock","2016-11-20 19:00:00",4,235,True
8151,"90s jams","2016-11-08 19:00:00",4,33,True
4679,"lol","2015-11-15 19:00:00",3,189,True
2264,"Lauren","2017-10-25 20:00:00",3,72,True
4368,"tbt","2017-09-20 20:00:00",3,172,True
9151,"Summer Party","2013-09-21 20:00:00",3,207,True
9161,"Throw Back","2017-08-13 20:00:00",3,88,True
1307,"Bachelor party","2013-08-23 20:00:00",3,81,True
2528,"Party Jams","2017-02-05 19:00:00",3,133,True
1709,"Alt ","2017-10-10 20:00:00",3,230,True
2487,"Christmas Vibes ","2017-08-10 20:00:00",2,33,True
192,"Worship","2017-02-26 19:00:00",2,76,True
635,"Friendsgiving","2016-02-15 19:00:00",2,37,True
689,"London","2016-02-24 19:00:00",2,28,True
752,"royal","2017-08-24 20:00:00",2,128,True
1160,"Friendsgiving","2016-02-15 19:00:00",2,37,True
1214,"London","2016-02-24 19:00:00",2,28,True
1277,"royal","2017-08-24 20:00:00",2,128,True
1540,"dom","2017-09-30 20:00:00",2,194,True
1586,"Prelude","2017-03-05 19:00:00",2,27,True
2422,"Cumbia","2015-06-22 20:00:00",2,27,True
2525,"Summer '17","2017-08-25 20:00:00",2,48,True
2545,"ultimate throwback","2015-11-09 19:00:00",2,63,True
3257,"Random Stuff","2015-11-26 19:00:00",2,148,True
3587,"VIBES","2017-03-12 20:00:00",2,51,True
3597,"Hoodrat","2017-09-28 20:00:00",2,129,True
3875,"Babes","2015-09-16 20:00:00",2,93,True
3876,"Classical","2016-11-13 19:00:00",2,43,True
3877,"karaoke","2017-08-10 20:00:00",2,74,True
4004,"Coast to Coast","2016-07-11 20:00:00",2,112,True
4366,"Manchester","2014-06-15 20:00:00",2,27,True
4424,"Bday","2015-12-23 19:00:00",2,120,True
4477,"#sprung","2017-10-07 20:00:00",2,76,True
4876,"Classics","2016-03-09 19:00:00",2,73,True
4897,"Christmas 2016","2016-12-08 19:00:00",2,31,True
4978,"Reggae","2017-08-11 20:00:00",2,114,True
5183,"TRANSIT","2016-02-24 19:00:00",2,20,True
6229,"Colab","2017-10-02 20:00:00",2,41,True
6230,"18th","2016-06-10 20:00:00",2,239,True
6335,"2015","2015-11-26 19:00:00",2,32,True
6553,"that new new","2015-11-11 19:00:00",2,39,True
6557,"yup","2016-01-25 19:00:00",2,31,True
6632,"90's Country","2017-06-29 20:00:00",2,202,True
7081," Christmas","2017-10-04 20:00:00",2,186,True
7306,"Techno","2015-02-17 19:00:00",2,73,True
8147,"Wedding party","2016-06-22 20:00:00",2,138,True
8334,"Fred %","2017-08-19 20:00:00",2,32,True
8339,"Running","2017-04-14 20:00:00",2,51,True
8372,"ratchet","2015-12-12 19:00:00",2,14,True
8657,"Road Trip","2014-06-24 20:00:00",2,231,True
8676,"Gute Musik.","2017-10-30 20:00:00",2,182,True
8833,"Good Tunes","2015-12-01 19:00:00",2,80,True
9133,"The One ","2015-01-06 19:00:00",2,35,True
9142,"bump","2016-04-02 20:00:00",2,30,True
9288,"Drive","2017-10-28 20:00:00",2,88,True
9624,"Werk","2014-06-14 20:00:00",2,111,True
8723,"Wedding","2016-03-31 20:00:00",1,52,True
3260,"Grad Party!!","2017-09-05 20:00:00",1,91,True
3355,"Formal","2017-07-28 20:00:00",1,74,True
3431,"Flashback","2015-04-02 20:00:00",1,21,True
3449,"electrochill","2016-06-21 20:00:00",1,36,True
760,"Maya","2015-05-18 20:00:00",1,27,True
3569,"Emily","2016-03-11 19:00:00",1,100,True
8729,"Rap","2014-06-02 20:00:00",1,28,True
8798,"other","2017-09-07 20:00:00",1,128,True
3621,"LIT","2017-10-30 20:00:00",1,52,True
3632,"vamos a la playa","2017-05-11 20:00:00",1,28,True
3764,"Chaos","2014-08-18 20:00:00",1,20,True
3770,"Roadtrip 2016","2016-05-12 20:00:00",1,151,True
3867,"US","2014-02-19 19:00:00",1,5,True
8832,"Wedding","2014-12-12 19:00:00",1,115,True
9888,"Love.","2017-03-10 19:00:00",1,70,True
8914,"Study","2015-11-17 19:00:00",1,35,True
3930,"Girl Power","2015-03-01 19:00:00",1,15,True
3970,"Wedding mix","2017-06-09 20:00:00",1,36,True
8965,"King","2015-09-29 20:00:00",1,34,True
4024,"salty","2017-09-16 20:00:00",1,53,True
4030,"Pre-ceremony","2014-07-20 20:00:00",1,45,True
4089,"Swag","2013-12-10 19:00:00",1,161,True
4090,"safari","2017-08-22 20:00:00",1,111,True
4142,"NYC","2017-04-06 20:00:00",1,12,True
4189,"Duets","2015-09-08 20:00:00",1,20,True
4193,"Road Trip!!!","2015-08-10 20:00:00",1,204,True
4238,"Housewarming","2016-06-25 20:00:00",1,111,True
4261,"Wedding","2015-08-29 20:00:00",1,35,True
4268,"Rock","2015-12-28 19:00:00",1,70,True
4273,"Loungin","2015-10-08 20:00:00",1,11,True
8988,"Memories","2015-04-20 20:00:00",1,72,True
714,"Ratchet","2016-02-22 19:00:00",1,92,True
309,"Wedding reception","2016-05-18 20:00:00",1,23,True
4434,"Fireball","2016-03-31 20:00:00",1,12,True
4451,"Beach","2014-09-18 20:00:00",1,74,True
9051,"Roots","2014-04-06 20:00:00",1,12,True
4504,"Acoustics","2017-10-29 20:00:00",1,175,True
4635,"chill af","2016-08-01 20:00:00",1,109,True
4651,"That New New","2016-10-23 20:00:00",1,94,True
4665,"RUNNNN","2017-10-22 20:00:00",1,90,True
663,"Road Trip!","2014-08-21 20:00:00",1,224,True
4793,"practice","2016-03-04 19:00:00",1,20,True
9627,"My Jams","2014-09-19 20:00:00",1,23,True
9695,"Stella!","2017-10-30 20:00:00",1,45,True
4899,"GoodVibes","2013-08-15 20:00:00",1,73,True
4913,"Collaborative Playlist","2016-11-14 19:00:00",1,133,True
275,"80's","2017-05-14 20:00:00",1,43,True
4995,"DINNER","2015-10-20 20:00:00",1,29,True
5069,"Sleepover","2017-05-23 20:00:00",1,12,True
5089,"christmas","2016-12-24 19:00:00",1,93,True
269,"Chill Music","2015-03-18 20:00:00",1,20,True
5218,"Right now","2014-09-13 20:00:00",1,27,True
5235,"Music","2017-04-10 20:00:00",1,71,True
5250,"Summah","2017-02-18 19:00:00",1,64,True
5269,"WP","2017-03-14 20:00:00",1,30,True
5271,"Misc. :)","2016-01-29 19:00:00",1,167,True
5296,"Wedding Dance","2016-11-24 19:00:00",1,12,True
5309,"trance","2015-08-28 20:00:00",1,39,True
5311,"Sexy","2017-10-19 20:00:00",1,18,True
5313,"hippity hop","2017-09-18 20:00:00",1,63,True
5340,"Running music","2017-08-03 20:00:00",1,204,True
5400,"VEGAS","2017-01-29 19:00:00",1,53,True
5442,"chill music","2016-12-01 19:00:00",1,35,True
5473,"Wedding","2015-05-14 20:00:00",1,47,True
5504,"Trance","2017-09-24 20:00:00",1,214,True
5677,"Naked","2016-10-24 20:00:00",1,199,True
5702,"Slow Jams","2016-12-25 19:00:00",1,98,True
5739,"CoD","2017-01-08 19:00:00",1,56,True
5868,"Navidad","2016-12-30 19:00:00",1,53,True
5873,"hockey","2013-04-15 20:00:00",1,35,True
5943,"good tunes","2016-01-23 19:00:00",1,68,True
5960,"Wedding Dance","2015-10-07 20:00:00",1,18,True
5981,"DRUMS ","2017-09-15 20:00:00",1,13,True
6030,"Work Playlist","2016-06-02 20:00:00",1,55,True
6150,"My songs","2016-08-11 20:00:00",1,58,True
6158,"*Pump Up*","2016-12-27 19:00:00",1,33,True
6192,"Road Trip","2017-09-27 20:00:00",1,135,True
9193,"Wedding Party","2016-01-20 19:00:00",1,113,True
9195,"park","2016-10-16 20:00:00",1,17,True
196,"Luna","2017-02-02 19:00:00",1,19,True
6395,"Good beats","2013-12-17 19:00:00",1,86,True
6492,"June","2013-06-05 20:00:00",1,17,True
9279,"Dem Beats","2017-01-20 19:00:00",1,15,True
9283,"For Mom!","2013-05-22 20:00:00",1,29,True
9869,"Into the Woods!","2016-10-11 20:00:00",1,50,True
6657,"Rage","2017-07-22 20:00:00",1,28,True
6713,"Instrumental","2012-10-08 20:00:00",1,156,True
6730,"Spanish Music","2014-12-15 19:00:00",1,127,True
6751,"August","2013-07-29 20:00:00",1,23,True
6752,"collab","2013-10-07 20:00:00",1,84,True
6939,"Our songs","2016-11-17 19:00:00",1,14,True
6974,"wet","2015-08-22 20:00:00",1,67,True
7018,"Dubai","2013-12-15 19:00:00",1,93,True
486,"90s ","2017-04-04 20:00:00",1,40,True
9292,"!!!all time faves!!!","2017-08-06 20:00:00",1,42,True
7213,"Jazz","2017-10-23 20:00:00",1,65,True
7305,"Greek ","2014-06-02 20:00:00",1,13,True
9366,"BB","2017-03-25 20:00:00",1,178,True
7352,"Country bumpkin","2015-07-03 20:00:00",1,17,True
7434,"summer '13","2013-09-21 20:00:00",1,55,True
7436,"Tunes","2016-09-23 20:00:00",1,7,True
7511,"La La La","2015-06-03 20:00:00",1,48,True
7531,"Oldies","2013-09-27 20:00:00",1,248,True
7551,"Drive home","2017-05-17 20:00:00",1,155,True
437,"Reception Music","2016-07-06 20:00:00",1,33,True
7721,"Cabin","2014-12-29 19:00:00",1,62,True
7900,"Frozen","2017-09-16 20:00:00",1,27,True
7935,"songs to learn","2017-10-27 20:00:00",1,196,True
7938,"Main","2014-07-14 20:00:00",1,40,True
8038,"For You","2017-10-12 20:00:00",1,246,True
8048,"70's","2017-10-03 20:00:00",1,103,True
64,"Worship","2015-01-12 19:00:00",1,85,True
345,"idk","2014-12-03 19:00:00",1,10,True
9436,"Ours","2016-02-25 19:00:00",1,99,True
9498,"Band Music","2013-10-16 20:00:00",1,29,True
8343,"Wedding Party","2015-07-04 20:00:00",1,71,True
9515,"Coach","2015-05-09 20:00:00",1,87,True
8400,"Roadtrip","2017-08-07 20:00:00",1,156,True
8495,"Dinner music ","2016-10-27 20:00:00",1,62,True
8535,"Metal","2014-06-01 20:00:00",1,209,True
1188,"Road Trip!","2014-08-21 20:00:00",1,224,True
8544,"Reggae","2017-09-19 20:00:00",1,98,True
1239,"Ratchet","2016-02-22 19:00:00",1,92,True
8547,"draking","2015-08-21 20:00:00",1,70,True
1285,"Maya","2015-05-18 20:00:00",1,27,True
1287,"Party Songs","2017-10-29 20:00:00",1,39,True
1306,"New Years Eve","2013-12-30 19:00:00",1,107,True
1011,"90s ","2017-04-04 20:00:00",1,40,True
1425,"60s","2016-01-28 19:00:00",1,47,True
1456,"Driving Music","2017-09-26 20:00:00",1,73,True
1533,"nick","2017-06-23 20:00:00",1,50,True
8611,"Sharing is Caring","2017-09-24 20:00:00",1,89,True
9552,"july","2015-07-19 20:00:00",1,22,True
962,"Reception Music","2016-07-06 20:00:00",1,33,True
1673,"Lovely ","2017-03-01 19:00:00",1,208,True
870,"idk","2014-12-03 19:00:00",1,10,True
1739,"Reception ","2013-06-07 20:00:00",1,6,True
1754,"Dad","2017-08-13 20:00:00",1,100,True
1776,"rebirth","2017-06-22 20:00:00",1,54,True
1777,"Spring Awakening","2014-06-11 20:00:00",1,57,True
1989,"DnD","2017-04-20 20:00:00",1,26,True
2012,"Zumba","2012-10-31 20:00:00",1,33,True
2075,"Summer bbq","2016-10-04 20:00:00",1,58,True
2079,"Classic Rock","2016-06-20 20:00:00",1,145,True
2160,"Melodies","2016-08-14 20:00:00",1,242,True
834,"Wedding reception","2016-05-18 20:00:00",1,23,True
2409,"Wedding Cocktail","2014-05-15 20:00:00",1,28,True
9553,"Turn Up","2017-09-22 20:00:00",1,215,True
2470,"No worries.(: ","2014-07-22 20:00:00",1,28,True
800,"80's","2017-05-14 20:00:00",1,43,True
8684,"work out","2017-03-24 20:00:00",1,43,True
794,"Chill Music","2015-03-18 20:00:00",1,20,True
8711,"Playlist1","2013-04-24 20:00:00",1,31,True
762,"Party Songs","2017-10-29 20:00:00",1,39,True
2797,"explore","2017-10-27 20:00:00",1,153,True
2835,"yoga","2014-08-10 20:00:00",1,34,True
2863,"Fight!","2016-08-08 20:00:00",1,13,True
2896,"driving","2017-10-30 20:00:00",1,178,True
2992,"Workout","2017-10-30 20:00:00",1,223,True
3073,"My Country","2016-09-11 20:00:00",1,110,True
